Aug. 30,DUK,L
Sep. 1,UVA,L
Sep. 8,DEL,L
Sep. 13,ODU,L
Sep. 15,PRI,L
Sep. 20,MAR,L
Sep. 26,CAL,L
Sep. 29,VIL,W
Oct. 4,IND,W
Oct. 6,LOU,L
Oct. 11,NWU,W
Oct. 13,IOW,L
Oct. 18,MSU,W
Oct. 20,MIC,L
Oct. 25,OHS,L
Oct. 30,BUC,W
Nov. 3,RUT,W
Nov. 7,MIC,W
Nov. 7,MAR,L
