Aug. 30,STF,W
Aug. 31,CON,L
Sep. 2,CAL,W
Sep. 6,DUK,L
Sep. 8,BOC,W
Sep. 13,UML,W
Sep. 15,WFU,W
Sep. 16,BAL,W
Sep. 20,OHS,W
Sep. 22,MIA,W
Sep. 27,MSU,W
Sep. 29,MIC,W
Oct. 3,MAR,L
Oct. 6,MAI,L
Oct. 11,PSU,L
Oct. 13,RUT,W
Oct. 20,KST,W
Oct. 26,IOW,L
Nov. 1,IND,W
Nov. 7,RUT,W
Nov. 7,IOW,L
