Aug. 30,UML,L
Sep. 1,BOC,W
Sep. 6,VER,W
Sep. 8,SFU,W
Sep. 13,KST,W
Sep. 15,IND,W
Sep. 20,CMB,W
Sep. 22,PRO,W
Sep. 27,NEA,L
Oct. 4,SHU,W
Oct. 6,HOL,W
Oct. 11,BNT,W
Oct. 18,RID,W
Oct. 20,VIL,W
Oct. 24,WAG,W
Oct. 26,MER,W
Nov. 1,LOB,W
Nov. 3,DRX,W
Nov. 8,SHU,?
